Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
ANDRSTRNtr,-0.415206798799935,0.00984671981333498,-0.434506369634071,-0.395907227965798,-0.962372573322724,-0.0161293483073731,-0.430929176782341,0.00994006151359143,-0.45041169734898,-0.411446656215702,-0.994218171652267,-0.0289693033472788
ARAB_Lt,874.418514553686,3.90046096110344,866.773611069923,882.063418037448,541.297348845853,993.491091078348,522.46581452454,4.28092832310872,514.075195011247,530.856434037833,251.448036823246,825.564720112882
ARABR,874.418514553686,3.90046096110344,866.773611069923,882.063418037448,541.297348845853,993.491091078348,522.46581452454,4.28092832310872,514.075195011247,530.856434037833,251.448036823246,825.564720112882
ARACHDCOAtx,-9.00277523620809,0.150221976559924,-9.29721031026554,-8.70834016215064,-19.3595434223714,-1.86878725803214,-23.1201512873168,0.455390855172727,-24.0127173634553,-22.2275852111782,-64.3755764532465,-5.60671763129525
ARACHDt2,-0.24218287687518,0.0145287709963182,-0.270659268027964,-0.213706485722396,-0.872300245402952,0.909643732632892,0.0124525910814023,0.0171448359523547,-0.021151287385213,0.0460564695480175,-0.926084233780203,0.729286555433436
ARACHt,8.56202375430833,0.157738481108445,8.25285633133577,8.87119117728088,1.5717269249748,18.293369661948,12.0885183194564,0.181742651965947,11.7323027216031,12.4447339173096,3.88416004385391,22.2471479915974
ARGLYSex,4331.12034098197,35.7032073279283,4261.14205461923,4401.09862734471,2362.39698168548,6121.5793752561,2924.92797381087,47.1392086869425,2832.53512478446,3017.32082283728,346.447027802982,5542.00992556065
ARGSS,2.88647410811055,0.0691710987937459,2.7508987544748,3.02204946174629,0.158817137174795,7.93550136268224,3.00873902172595,0.0800507945171312,2.85183946447237,3.16563857897953,0.0578327224066453,7.90289473258517
ARGt4,553.705930648524,11.7477470912611,530.680346349652,576.731514947396,14.5625191088508,1185.41264628226,177.608356813533,3.64055020391903,170.472878413851,184.743835213214,11.9749838811142,419.926029025954
ASCBt,907.424980076107,3.10995095964225,901.329476195208,913.520483957006,589.920731027887,992.961269797205,749.482648963201,6.01663772226209,737.690039027567,761.275258898835,401.217002240777,995.489046854327
ASNCYSNaEx,128.109532447596,3.90543445748281,120.45488091093,135.764183984263,3.15092929553211,470.550178917807,242.950797789962,6.36895294954865,230.467650008846,255.433945571077,7.06904090077954,765.589453778832
ASNGLNNaEx,160.294850868751,4.17864071134977,152.104715074506,168.484986662997,4.50463195567895,426.057190234102,143.531178456077,3.45859311867249,136.752335943478,150.310020968675,4.65904125600463,365.992700632551
ASNNm,972.199886759522,0.385416767381816,971.444469895453,972.95530362359,953.2943021877,989.75732880558,944.633337717063,1.50658151700902,941.680437943726,947.586237490401,865.539382283127,997.926408990147
ASNS1,2.75103759008273,0.0646871536311776,2.62425076896562,2.87782441119984,0.370035738976451,6.68615712334359,1.74208131255085,0.0535642081494223,1.63709546457799,1.84706716052372,0.023467024252116,5.37407676825927
ASNt4,257.121622413867,6.56372075025654,244.256729743364,269.98651508437,7.54376924976941,724.770274106721,108.947306446955,2.88278411381009,103.297049583887,114.597563310022,3.13595009305074,335.095399058127
ASPGLUm,221.242544158704,0.479355010501237,220.303008338122,222.182079979287,206.206362387896,260.925509158947,232.965778852714,0.576293737434828,231.836243127342,234.095314578086,208.155251366548,268.866570633747
ASPt6,49.2815045340582,1.1934688913338,46.942305507044,51.6207035610725,3.45933402192537,136.617729436917,72.4301246501643,1.43767569547291,69.6122802870374,75.2479690132912,1.083598823065,176.65555215586
ASPTAm,735.474154029565,0.87939490684232,733.750540012154,737.197768046976,691.720531108598,768.223377675367,623.175219112808,1.73019304074907,619.78404075294,626.566397472676,478.673578920528,747.603162753432
